HALLMARK_ADIPOGENESIS	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANGIOGENESIS	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_APOPTOSIS	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_COAGULATION	HALLMARK_COMPLEMENT	HALLMARK_DNA_REPAIR	HALLMARK_E2F_TARGETS	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_G2M_CHECKPOINT	HALLMARK_GLYCOLYSIS	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEME_METABOLISM	HALLMARK_HYPOXIA	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_MITOTIC_SPINDLE	HALLMARK_MTORC1_SIGNALING	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_MYOGENESIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_P53_PATHWAY	HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PEROXISOME	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PROTEIN_SECRETION	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_SPERMATOGENESIS	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_UP	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_XENOBIOTIC_METABOLISM
APLP2	CCL4	CDK6	PGLYRP1	ARHGEF6	GSTM3	BNIP3L	AMACR	CXCL16	CAPN2	CA2	COX17	CDCA3	CDH2	BCL2	CA12	ADSL	CDC20	B3GAT3	NRP2	ATP6V0A1	BNIP3L	CAPN3	CXCL10	C5AR1	EPSTI1	CCL7	CALML5	BIRC3	ARHGEF12	CACYBP	CLNS1A	MPHOSPH10	BAG1	NOTCH3	ATP5MC3	CCND2	NKX2-2	CADM1	CFL1	BNIP3	LAMTOR5	CDKN3	IFNGR2	CCL5	DCP2	BHLHE40	BTG2	JAG1	ALDH9A1
APOE	CCL5	CENPN	POSTN	ARPC2	HSPB1	BRCA1	APOA1	CYP51A1	CAPN5	CALM1	CSTF3	CDCA8	CDH6	BHLHE40	CA2	ALAD	CDC25A	B3GNT3	OPHN1	BACH1	BRS3	CASP3	CXCL11	CALCRL	GBP2	CD274	CAMK1D	BMP2	ARHGEF2	CALR	CNBP	MRTO4	BDKRB2	PPARD	ATP5ME	CCND3	NKX6-1	CAT	CLTC	CAV2	LSP1	CFTR	JUNB	CCN1	DCTN1	BMPR1A	BTG3	JAG2	ANGPTL3
ARAF	CCL7	DBI	PRG2	ATP1A3	IL2RB	BTG2	AQP9	DHCR7	CASP9	CALM3	DAD1	CDK1	COL11A1	BLVRB	CACNA2D2	ALDH1A1	CDC25B	B4GALT1	PLG	BCAM	BTG1	CCND2	CXCL13	CCL17	GBP4	CD38	CAPN9	BPGM	ARHGEF3	CANX	COPS5	MYBBP1A	BHLHE40	PRKCA	ATP5MF	CCNG1	PAK3	CDK7	CSNK2B	CD63	MBP	CHFR	KLF10	CCND1	DDIT4	CACNA1A	C4BPB	KAT2A	AOX1
ARL4A	CCND2	DHCR24	PTK2	B4GALT1	IL2RG	BTG3	AR	EBP	CD9	CASP1	DCTN4	CDK4	COL12A1	CA12	CALCR	ALDH3A1	CDC27	B4GALT2	PML	BLVRA	CA12	CCND3	CXCL3	CCL2	GMPR	CD40	CCDC106	BTBD3	ARHGEF7	CCNF	COX5A	MYC	BIN1	PSEN2	ATP5MG	CCNK	PAX4	CEL	CXCR4	CLCN3	MGST1	CHRM4	LEFTY2	CCNL1	DDX10	CAP2	CA2	LEF1	AP4B1
ATL2	CCND3	DNAJB9	S100A4	BAIAP2	LYN	CASP1	ATXN1	ECH1	CFB	CASP10	DDB1	CDKN1A	COL16A1	CALB2	CAV1	ALDH3A2	CDC45	B4GALT4	PTCH1	BLVRB	CASP6	CCNE1	CXCL9	CCL20	HELZ2	CD69	CCNA1	BTC	ARL8A	CCNG1	CSTF2	NDUFAF4	CACNA1H	PSENEN	ATP5PB	CCP110	PAX6	CLN6	DAPP1	CLN5	MPO	CLGN	LTBP2	CCRL2	DKC1	CAV1	CASP3	MAML1	APOE
ATP1B3	CCR1	ELK4	SERPINA5	BMP1	LYPD3	CASP2	BBOX1	ERRFI1	CFD	CASP3	DDB2	CDKN1B	COL1A1	CALCR	CCN5	ALDH9A1	CDC6	B4GALT7	RASA1	BMP2K	CAV1	CCR4	DNTT	CCL22	HERC6	CD74	CCR8	C3AR1	ATG4B	CCT6A	CTPS1	NIP7	CACNG1	RBX1	ATP5PD	CD81	PCSK1	CLN8	DDIT3	CLTA	MSRA	CLPB	MAP3K7	CD44	DNAJA4	CCN1	CCK	MYC	AQP9
ATP5PO	CCR2	ELL2	SLCO2A1	CADM2	MAL	CASP3	BCAR3	ETHE1	CFH	CASP4	DGCR8	CDKN2A	COL1A2	CANT1	CCNA1	ALDOA	CDC7	BIK	RTN1	BNIP3L	CAVIN1	CD44	EBI3	CCL24	HLA-C	CD86	CD207	CA2	AURKA	CD9	CUL1	NOC4L	CAMK2B	SAP30	ATP5PF	CD82	PCSK2	CNBP	DUSP3	CLTC	NDUFA6	CLVS1	NCOR2	CD69	DNAJB9	CDC42BPA	CCND3	NCOR2	ARG1
BAZ2A	CCR5	ELOVL5	SPP1	CADM3	MDGA1	CASP4	BMP6	FABP5	CFI	CASP5	DGUOK	CDKN2C	COL3A1	CBFA2T3	CCND1	AOC3	CDK1	BPNT1	SCG2	BPGM	CAVIN3	CD48	FAS	CCL5	IFI27	CDKN1A	CD40LG	CAB39L	BCAR1	CDC25A	CYC1	NOLC1	CASQ1	SKP1	ATP5PO	CDH13	PDX1	CRABP1	E2F1	COG2	NDUFB4	CNIH2	NOG	CD80	DNAJC3	CDK13	CCNE1	NCSTN	ARG2
BCKDHA	CD1D	FADS1	STC1	CALB2	NCOA6	CASP6	CAT	FADS2	CLU	CASP7	DUT	CDKN3	COL4A1	CCN5	CD44	APEX1	CDK4	CACNA1H	SHH	BSG	CCN1	CD79B	GRB2	CCL7	IFI30	CFB	CD80	CBL	BCL2L11	CDKN1A	DDX18	NOP16	CASQ2	ST3GAL6	ATP6AP1	CDK5R1	PKLR	CRABP2	ECSIT	COPB1	NDUFS2	COIL	PMEPA1	CD83	EDC4	CDKN1B	CDC34	NKD1	ARPP19
BCL2L13	CD2	FKBP5	THBD	CAP1	NTNG1	CASP7	CH25H	FASN	COMP	CASP9	EDF1	CENPE	COL4A2	CCND1	CD9	AQP7	CDKN1B	CAPN5	SLIT1	BTG2	CCN2	CD81	HAX1	CCR7	IFI35	CFH	CDH16	CBR4	BCR	CFP	DDX21	NOP2	CAV3	TCF7L2	ATP6V0B	CDKN1A	SCGN	CRAT	EGFR	COPB2	NQO1	CRISP2	PPM1A	CDKN1A	EDEM1	CDON	CDC5L	NOTCH1	ASL
